"buba_activity_date","buba_meeting_date_indicator","buba_policy_decision_indicator"
1987-01-08,1,0
1987-01-22,1,1
1987-02-05,1,0
1987-02-19,1,0
1987-03-05,1,0
1987-03-19,1,0
1987-04-02,1,0
1987-04-16,1,0
1987-05-07,1,1
1987-05-21,1,0
1987-06-04,1,0
1987-06-16,1,0
1987-07-02,1,0
1987-07-30,1,0
1987-08-13,1,0
1987-08-27,1,1
1987-09-10,1,0
1987-09-24,1,0
1987-10-08,1,0
1987-10-22,1,0
1987-11-05,1,1
1987-11-19,1,0
1987-12-03,1,1
1987-12-17,1,1
1988-01-07,1,1
1988-01-21,1,0
1988-02-04,1,0
1988-02-18,1,0
1988-03-03,1,0
1988-03-17,1,0
1988-04-07,1,0
1988-04-21,1,0
1988-05-05,1,0
1988-05-19,1,0
1988-06-01,1,1
1988-06-15,1,1
1988-06-30,1,1
1988-07-14,1,1
1988-07-28,1,1
1988-08-25,1,1
1988-09-08,1,0
1988-09-22,1,0
1988-10-06,1,0
1988-10-20,1,1
1988-11-03,1,0
1988-11-17,1,0
1988-12-01,1,0
1988-12-15,1,1
